gen,avg_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,0.32,L,S,L,L,L,L,R,R,L,S,R,L,L,S,L,L,S,S,L,L,R,L,L,L,L,L,L,L,L,L,R,L,R,S,L,S,R,S,R,R,R,S,R,S,R,S,L,L,R,R,R,R,R,L,R,L,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,L
1,0.38,L,L,R,R,R,L,R,R,L,L,L,S,S,L,L,L,S,S,S,S,S,S,S,L,L,L,R,S,S,L,R,R,L,S,S,S,L,L,R,R,S,L,S,S,L,S,L,S,S,S,R,S,L,S,R,S,S,S,R,S,L,S,S,R,S,S,S,S,L,L,L,S
2,0.45,L,L,L,L,L,L,L,L,L,L,S,S,L,L,L,L,S,S,S,S,S,S,S,S,L,L,L,L,L,L,L,L,L,L,S,S,L,L,L,L,S,S,S,S,S,S,S,S,L,S,S,S,L,L,L,L,S,S,S,S,L,L,S,S,S,S,S,S,S,S,S,S
3,0.55,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
4,0.55,L,L,L,L,L,L,L,L,L,L,R,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
5,1.26,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,L,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
6,1.43,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,R,R,L,L,L,L,L,L,S,S,L,L,S,L,L,L,L,S,L,L,L,S,L,L,R,S,L,L,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
7,2.26,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
8,2.51,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,S,L,L,L,L,S,S,R,S,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
9,2.53,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,S,L,S,L,S,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
10,3.02,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,R,L,L,L,L,S,L,L,L,L,L,L,L,S,L,L,L,S,L,L,L,S,L,S,L,S,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
11,3.51,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,S
12,4.02,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
13,4.02,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
14,3.45,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,L,L,L,S,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,L,S,S,S
15,3.36,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,L,L,L,S,L,L,S,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
16,4.15,L,L,L,L,L,L,L,S,L,L,L,S,L,L,L,S,L,S,S,S,L,S,L,S,L,L,S,S,L,S,S,S,L,L,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
17,3.43,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,L,S,S,L,S,S,S,L,S,S,S,L,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
18,3.85,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,S,S,L,S,S,S,L,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
19,4.91,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,S,S,S,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
20,4.34,L,L,L,L,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
21,4.57,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
22,4.70,L,L,L,R,L,R,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
23,5.66,L,L,L,L,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
24,5.02,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
25,5.23,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
26,6.15,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S
27,5.23,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
28,6.09,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,L,S,S,S
29,8.21,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
30,7.19,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
31,7.36,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
32,7.23,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
33,7.09,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
34,7.13,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
35,6.45,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
36,6.43,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,L,S,S,S
37,6.68,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
38,7.06,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
39,6.43,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
40,7.09,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,S,L,S,L,S,L,L,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
41,7.91,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
42,7.62,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
43,7.53,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
44,5.83,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
45,6.17,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
46,6.77,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
47,7.91,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
48,7.38,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,S
49,6.98,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,L,L,L,L,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S
